date,consumption_kwh,notes
2026-08-01,4.2,Regular weekday study
2026-08-02,3.8,Regular weekday
2026-08-03,4.5,Geyser + laptop usage
2026-08-04,3.9,Regular weekday
2026-08-05,4.1,Regular weekday
2026-08-06,5.8,Saturday laundry & gaming
2026-08-07,5.4,Sunday gaming & project work
2026-08-08,4.0,Regular weekday
2026-08-09,4.3,Exam preparation
2026-08-10,4.6,Late night study
2026-08-11,4.1,Regular weekday
2026-08-12,4.4,Regular weekday
2026-08-13,6.2,Saturday movie night & cooler
2026-08-14,5.1,Sunday in hostel
2026-08-15,3.2,Holiday - room vacant afternoon
2026-08-16,4.0,Regular weekday
2026-08-17,4.5,Geyser morning usage
2026-08-18,4.2,Regular weekday
2026-08-19,4.7,Project submission night
2026-08-20,6.5,Saturday weekend spike
2026-08-21,5.6,Sunday room cleaning & cooler
2026-08-22,4.1,Regular weekday
2026-08-23,4.3,Regular weekday
2026-08-24,3.9,Regular weekday
2026-08-25,4.4,Regular weekday
2026-08-26,4.8,Friday evening gaming
2026-08-27,6.8,Saturday party / extra appliances
2026-08-28,5.9,Sunday extended study
2026-08-29,4.2,Regular weekday
2026-08-30,4.0,Regular weekday
