date,consumption_kwh,notes
2026-08-01,16.4,Normal weekday - 1 AC run
2026-08-02,15.8,Normal weekday
2026-08-03,17.2,Laundry day
2026-08-04,16.0,Normal weekday
2026-08-05,18.5,Friday family movie night
2026-08-06,22.4,Saturday high AC usage & baking
2026-08-07,24.1,Sunday full day AC & laundry
2026-08-08,16.1,Normal weekday
2026-08-09,15.5,Normal weekday
2026-08-10,16.8,Work from home day
2026-08-11,16.2,Normal weekday
2026-08-12,17.9,Friday evening gathering
2026-08-13,23.5,Saturday guests & 2 ACs
2026-08-14,21.8,Sunday family day
2026-08-15,19.2,Independence day holiday
2026-08-16,15.9,Normal weekday
2026-08-17,16.5,Normal weekday
2026-08-18,17.1,Mid-week laundry
2026-08-19,18.3,Friday evening
2026-08-20,25.4,Hot Saturday - continuous AC
2026-08-21,23.0,Sunday cleaning & cooking
2026-08-22,16.0,Normal weekday
2026-08-23,15.7,Normal weekday
2026-08-24,16.4,Normal weekday
2026-08-25,16.9,Work from home
2026-08-26,18.8,Friday family dinner
2026-08-27,24.8,Saturday weekend peak
2026-08-28,22.1,Sunday family relaxation
2026-08-29,15.6,Normal weekday
2026-08-30,16.3,Normal weekday
